date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-05,VRSN,2015-02-05,0.7,0.7070000000000001,0.72,2014,4,0
2014-10-23,VRSN,2014-10-23,0.7,0.685,0.709285714286,2014,3,1
2014-07-24,VRSN,2014-07-24,0.68,0.637,0.652,2014,2,1
2014-04-24,VRSN,2014-04-24,0.64,0.626,0.645454545455,2014,1,1
2014-02-06,VRSN,2014-02-06,0.65,0.6,0.612727272727,2013,4,1
2013-10-24,VRSN,2013-10-24,0.59,0.5660000000000001,0.583,2013,3,1
2013-07-25,VRSN,2013-07-25,0.58,0.551,0.572222222222,2013,2,1
2013-04-25,VRSN,2013-04-25,0.58,0.541,0.561818181818,2013,1,1
2013-01-24,VRSN,2013-01-24,0.59,0.51,0.515,2012,4,1
2012-10-25,VRSN,2012-10-25,0.5,0.49,0.494166666667,2012,3,1
2012-07-26,VRSN,2012-07-26,0.45,0.45,0.45,2012,2,0
2012-04-26,VRSN,2012-04-26,0.42,0.43,0.43538461538500006,2012,1,0
2012-01-26,VRSN,2012-01-26,0.4,0.41,0.0,2011,4,0
2011-10-27,VRSN,2011-10-27,0.39,0.37,0.0,2011,3,1
2011-07-28,VRSN,2011-07-28,0.38,0.35,0.0,2011,2,1
2011-04-28,VRSN,2011-04-28,0.32,0.32,0.0,2011,1,0
2011-01-27,VRSN,2011-01-27,0.31,0.3,0.0,2010,4,1
2010-10-28,VRSN,2010-10-28,0.28,0.26,0.0,2010,3,1
2010-08-02,VRSN,2010-08-02,0.23,0.24,0.0,2010,2,0
2010-04-28,VRSN,2010-04-28,0.22,0.0,0.0,2010,1,1
2010-02-02,VRSN,2010-02-02,0.17,0.34,0.0,2009,4,0
2009-09-01,VRSN,2009-09-01,0.16,0.32,0.0,2009,3,0
2009-06-01,VRSN,2009-06-01,0.16,0.32,0.0,2009,2,0
2009-03-01,VRSN,2009-03-01,0.15,0.28,0.0,2009,1,0
2008-12-01,VRSN,2008-12-01,0.28,0.28300000000000003,0.0,2008,4,0
2008-09-01,VRSN,2008-09-01,0.24,0.26,0.0,2008,3,0
2008-06-01,VRSN,2008-06-01,0.24,0.23,0.0,2008,2,1
2008-03-01,VRSN,2008-03-01,0.24,0.2,0.0,2008,1,1
2007-12-01,VRSN,2007-12-01,-0.85,0.29,0.0,2007,4,0
2007-09-01,VRSN,2007-09-01,0.05,0.27,0.0,2007,3,0
2007-06-01,VRSN,2007-06-01,0.25,0.25,0.0,2007,2,0
2007-03-01,VRSN,2007-03-01,0.4,0.22,0.0,2007,1,1
2006-12-01,VRSN,2006-12-01,0.24,0.25,0.0,2006,4,0
2006-09-01,VRSN,2006-09-01,0.24,0.19,0.0,2006,3,1
2006-06-01,VRSN,2006-06-01,0.2,0.19,0.0,2006,2,1
2006-03-01,VRSN,2006-03-01,0.18,0.18,0.0,2006,1,0
2005-12-01,VRSN,2005-12-01,0.26,0.26,0.0,2005,4,0
2005-09-01,VRSN,2005-09-01,0.27,0.27,0.0,2005,3,0
2005-06-01,VRSN,2005-06-01,0.27,0.26,0.0,2005,2,1
2005-03-01,VRSN,2005-03-01,0.25,0.21,0.0,2005,1,1
2004-12-01,VRSN,2004-12-01,0.21,0.2,0.0,2004,4,1
2004-09-01,VRSN,2004-09-01,0.19,0.16,0.0,2004,3,1
2004-06-01,VRSN,2004-06-01,0.15,0.15,0.0,2004,2,0
2004-03-01,VRSN,2004-03-01,0.14,0.13,0.0,2004,1,1
2003-12-01,VRSN,2003-12-01,0.17,0.13,0.0,2003,4,1
2003-09-01,VRSN,2003-09-01,0.15,0.14,0.0,2003,3,1
2003-06-01,VRSN,2003-06-01,0.14,0.14,0.0,2003,2,0
2003-03-01,VRSN,2003-03-01,0.14,0.14,0.0,2003,1,0
2002-12-01,VRSN,2002-12-01,0.14,0.14,0.0,2002,4,0
2002-09-01,VRSN,2002-09-01,0.14,0.14,0.0,2002,3,0
2002-06-01,VRSN,2002-06-01,0.15,0.15,0.0,2002,2,0
2002-03-01,VRSN,2002-03-01,0.2,0.2,0.0,2002,1,0
2001-12-01,VRSN,2001-12-01,0.2,0.19,0.0,2001,4,1
2001-09-01,VRSN,2001-09-01,0.17,0.16,0.0,2001,3,1
2001-06-01,VRSN,2001-06-01,0.15,0.14,0.0,2001,2,1
2001-03-01,VRSN,2001-03-01,0.14,0.13,0.0,2001,1,1
2000-12-01,VRSN,2000-12-01,0.13,0.11,0.0,2000,4,1
2000-09-01,VRSN,2000-09-01,0.11,0.055,0.0,2000,3,1
2000-06-01,VRSN,2000-06-01,0.07,0.0,0.0,2000,2,1
2000-03-01,VRSN,2000-03-01,0.02,0.02,0.0,2000,1,0
