yr,qtr,up_day,p_over_20,p_over_10_ema,p_mom_1,v_mom_1,target
2006,3,0,1,1,0,1,1
2010,2,0,1,1,1,0,1
2011,1,0,0,0,0,0,0
2000,4,0,0,0,0,0,1
2004,1,1,1,1,0,0,1
2001,1,1,1,1,0,0,1
2012,3,0,1,1,0,1,1
2006,4,0,1,1,1,0,1
2003,2,1,1,1,1,0,0
2011,4,0,0,0,0,0,1
2008,2,0,1,1,1,0,1
2007,1,1,1,1,1,0,1
2009,3,0,1,1,1,0,1
2013,4,0,1,1,0,1,0
2001,4,1,0,0,0,0,1
2002,3,0,0,0,0,0,1
2010,1,0,1,1,0,0,1
2004,2,0,1,0,0,1,1
2002,2,0,1,1,0,0,0
2014,2,1,1,1,0,1,0
2005,3,0,1,1,0,0,0
2000,1,1,0,1,1,0,0
2013,1,1,0,0,0,0,1
2008,3,0,1,1,0,1,1
2009,2,0,0,1,0,0,0
2006,1,0,0,1,0,1,0
2003,1,0,0,0,0,1,0
2011,3,0,0,0,0,0,1
2007,4,0,0,0,0,1,1
2012,4,1,0,0,0,1,1
2004,3,0,1,1,1,0,0
2014,3,0,1,1,1,0,1
2005,2,0,1,0,0,1,1
2003,4,0,0,0,0,1,1
2002,4,1,1,1,1,0,1
2014,1,1,1,1,1,0,0
2000,2,1,0,0,0,1,0
2007,3,0,0,0,0,0,1
2001,3,1,0,0,0,0,1
2012,1,0,0,0,0,0,0
2009,1,0,1,0,0,0,1
2014,4,1,1,1,1,1,1
2011,2,0,1,1,0,0,1
2008,4,0,0,0,0,0,1
2002,1,0,0,0,0,1,1
2006,2,0,0,0,0,1,0
2009,4,0,0,0,0,1,0
2005,1,0,0,0,0,0,0
2000,3,1,1,1,1,0,0
2010,3,0,1,1,1,0,1
2005,4,0,1,1,0,1,1
2007,2,0,1,1,1,1,1
2001,2,1,0,0,0,0,1
2012,2,0,1,0,0,0,1
2003,3,0,0,0,0,0,1
2013,3,1,0,1,1,0,0
2008,1,0,0,0,0,1,1
2013,2,0,1,1,1,0,0
2004,4,0,1,1,1,0,1
2010,4,0,1,1,1,0,0
